DATE,Electricty_Consumption_in_TW
1/1/1973,35.9728
2/1/1973,36.1334
3/1/1973,35.0625
4/1/1973,33.8416
5/1/1973,33.5107
6/1/1973,36.4823
7/1/1973,39.1412
8/1/1973,41.4137
9/1/1973,40.1639
10/1/1973,37.1133
11/1/1973,37.0248
12/1/1973,38.4341
1/1/1974,40.7455
2/1/1974,39.834
3/1/1974,37.9408
4/1/1974,36.3004
5/1/1974,36.5293
6/1/1974,40.8899
7/1/1974,44.3563
8/1/1974,45.924
9/1/1974,44.4555
10/1/1974,40.6417
11/1/1974,39.4901
12/1/1974,38.9068
1/1/1975,40.0956
2/1/1975,39.6944
3/1/1975,38.304
4/1/1975,36.8939
5/1/1975,37.5668
6/1/1975,40.3832
7/1/1975,44.9671
8/1/1975,46.1853
9/1/1975,43.3001
10/1/1975,40.3836
11/1/1975,39.8092
12/1/1975,42.0597
1/1/1976,43.4099
2/1/1976,42.5826
3/1/1976,40.9244
4/1/1976,39.3533
5/1/1976,39.0766
6/1/1976,42.4851
7/1/1976,46.3693
8/1/1976,48.1945
9/1/1976,45.1688
10/1/1976,41.188
11/1/1976,40.8431
12/1/1976,44.1468
1/1/1977,47.6892
2/1/1977,44.8505
3/1/1977,42.8557
4/1/1977,41.0177
5/1/1977,40.7201
6/1/1977,45.061
7/1/1977,48.9685
8/1/1977,50.1898
9/1/1977,47.5982
10/1/1977,44.0684
11/1/1977,45.4267
12/1/1977,49.3447
1/1/1978,52.9153
2/1/1978,49.9488
3/1/1978,46.1749
4/1/1978,43.6652
5/1/1978,44.5402
6/1/1978,48.948
7/1/1978,53.8292
8/1/1978,54.1182
9/1/1978,50.998
10/1/1978,46.3711
11/1/1978,45.3267
12/1/1978,49.0027
1/1/1979,53.3617
2/1/1979,51.6279
3/1/1979,47.8264
4/1/1979,43.7935
5/1/1979,44.8591
6/1/1979,50.3292
7/1/1979,54.3579
8/1/1979,55.9197
9/1/1979,53.5776
10/1/1979,48.7261
11/1/1979,48.2585
12/1/1979,51.3008
1/1/1980,56.5838
2/1/1980,55.6802
3/1/1980,50.4428
4/1/1980,46.8693
5/1/1980,46.0886
6/1/1980,49.7595
7/1/1980,53.8273
8/1/1980,56.2272
9/1/1980,52.5737
10/1/1980,48.8947
11/1/1980,48.4081
12/1/1980,50.6659
1/1/1981,53.5867
2/1/1981,53.5461
3/1/1981,51.0708
4/1/1981,46.9172
5/1/1981,45.5795
6/1/1981,50.0235
7/1/1981,57.1384
8/1/1981,59.5376
9/1/1981,56.1935
10/1/1981,50.3249
11/1/1981,49.2234
12/1/1981,52.8176
1/1/1982,57.4002
2/1/1982,54.6248
3/1/1982,51.1896
4/1/1982,48.4958
5/1/1982,47.914
6/1/1982,54.5292
7/1/1982,59.5975
8/1/1982,59.6727
9/1/1982,54.9644
10/1/1982,50.4093
11/1/1982,49.7304
12/1/1982,53.4477
1/1/1983,57.8035
2/1/1983,54.3171
3/1/1983,51.2296
4/1/1983,48.5554
5/1/1983,47.3548
6/1/1983,51.8479
7/1/1983,56.4073
8/1/1983,57.0522
9/1/1983,53.2825
10/1/1983,48.6462
11/1/1983,48.5762
12/1/1983,50.9131
1/1/1984,53.8233
2/1/1984,52.0005
3/1/1984,49.8258
4/1/1984,48.1762
5/1/1984,46.8221
6/1/1984,52.1043
7/1/1984,59.2376
8/1/1984,63.0354
9/1/1984,58.8092
10/1/1984,52.0758
11/1/1984,51.5264
12/1/1984,56.4794
1/1/1985,60.9006
2/1/1985,57.131
3/1/1985,55.2857
4/1/1985,51.4436
5/1/1985,52.081
6/1/1985,57.541
7/1/1985,61.2397
8/1/1985,63.2502
9/1/1985,58.6939
10/1/1985,53.6227
11/1/1985,53.7972
12/1/1985,56.6369
1/1/1986,63.4267
2/1/1986,61.3016
3/1/1986,55.8488
4/1/1986,53.3782
5/1/1986,54.1358
6/1/1986,58.5966
7/1/1986,63.7333
8/1/1986,64.5506
9/1/1986,61.9159
10/1/1986,55.7588
11/1/1986,55.4629
12/1/1986,61.4175
1/1/1987,63.9303
2/1/1987,60.3646
3/1/1987,56.0702
4/1/1987,53.9762
5/1/1987,54.8074
6/1/1987,60.933
7/1/1987,67.8937
8/1/1987,66.6955
9/1/1987,62.8912
10/1/1987,57.8284
11/1/1987,57.0461
12/1/1987,62.1443
1/1/1988,65.1403
2/1/1988,62.3975
3/1/1988,59.346
4/1/1988,56.5817
5/1/1988,58.2626
6/1/1988,65.1768
7/1/1988,71.0094
8/1/1988,72.301
9/1/1988,65.8237
10/1/1988,59.7144
11/1/1988,59.6736
12/1/1988,64.4422
1/1/1989,70.3996
2/1/1989,67.92
3/1/1989,63.8744
4/1/1989,59.9583
5/1/1989,60.1815
6/1/1989,68.2487
7/1/1989,75.1146
8/1/1989,78.0872
9/1/1989,69.3406
10/1/1989,62.8362
11/1/1989,62.1364
12/1/1989,67.731
1/1/1990,70.0406
2/1/1990,68.7045
3/1/1990,66.3675
4/1/1990,61.405
5/1/1990,62.7297
6/1/1990,69.9173
7/1/1990,76.4218
8/1/1990,77.632
9/1/1990,71.0673
10/1/1990,65.3455
11/1/1990,65.608
12/1/1990,75.0806
1/1/1991,75.3432
2/1/1991,70.4279
3/1/1991,67.2785
4/1/1991,63.5089
5/1/1991,65.0637
6/1/1991,73.1867
7/1/1991,79.5446
8/1/1991,80.1356
9/1/1991,75.5456
10/1/1991,67.5532
11/1/1991,65.9821
12/1/1991,71.2865
1/1/1992,76.4893
2/1/1992,70.8296
3/1/1992,67.7166
4/1/1992,64.4234
5/1/1992,68.9159
6/1/1992,77.1266
